rank,full_journal_title,total_cites,journal_impact_factor,eigenfactor_score,journal_IF,full_title
176,INTENSIVE CARE MEDICINE,"33,510",17.440,0.040190,17.44,Intensive Care Medicine
177,HEPATOLOGY,"78,043",17.425,0.083440,17.425,Hepatology
178,Living Reviews in Solar Physics,"1,640",17.417,0.002670,17.417,Living Reviews in Solar Physics
179,Journal of Hematology & Oncology,"10,615",17.388,0.018360,17.388,Journal of Hematology Oncology
180,CIRCULATION RESEARCH,"65,425",17.367,0.068900,17.367,Circulation Research
181,National Science Review,"5,889",17.275,0.011400,17.275,National Science Review
182,REPORTS ON PROGRESS IN PHYSICS,"20,866",17.264,0.026060,17.264,Reports on Progress in Physics
183,NEURON,"111,115",17.173,0.175220,17.173,Neuron
184,BASIC RESEARCH IN CARDIOLOGY,"5,629",17.165,0.005290,17.165,Basic Research in Cardiology
185,ACTA NEUROPATHOLOGICA,"28,031",17.088,0.036970,17.088,Acta Neuropathologica
186,TRENDS IN MICROBIOLOGY,"17,553",17.079,0.022820,17.079,Trends in Microbiology
187,NUCLEIC ACIDS RESEARCH,"248,139",16.971,0.387070,16.971,Nucleic Acids Research
188,Nature Geoscience,"31,641",16.908,0.058220,16.908,Nature Geoscience
189,Annual Review of Genetics,"9,053",16.830,0.009270,16.83,Annual Review of Genetics
190,Advanced Science,"27,067",16.806,0.054300,16.806,Advanced Science
191,TRENDS IN IMMUNOLOGY,"16,915",16.687,0.024570,16.687,Trends in Immunology
192,EUROPEAN RESPIRATORY JOURNAL,"53,361",16.671,0.064620,16.671,European Respiratory Journal
193,Academy of Management Annals,"6,851",16.438,0.012950,16.438,Academy of Management Annals
194,Nano-Micro Letters,"5,972",16.419,0.007680,16.419,Nano Micro Letters
195,FEMS MICROBIOLOGY REVIEWS,"16,279",16.408,0.012990,16.408,Fems Microbiology Reviews
196,"IEEE TRANSACTIONS ON PATTERN ANALYSISAND MACHINE INTELLIGENCE","59,682",16.389,0.063190,16.389,Ieee Transactions on Pattern Analysis and Machine Intelligence
197,Annual Review of Materials Research,"9,204",16.286,0.005300,16.286,Annual Review of Materials Research
198,"PROGRESS IN PARTICLE AND NUCLEARPHYSICS","4,714",16.281,0.007290,16.281,Progress in Particle and Nuclear Physics
199,MOLECULAR BIOLOGY AND EVOLUTION,"61,557",16.240,0.082270,16.24,Molecular Biology and Evolution
200,PROGRESS IN LIPID RESEARCH,"7,328",16.195,0.004530,16.195,Progress in Lipid Research
201,JAMA Pediatrics,"14,720",16.193,0.043530,16.193,Jama Pediatrics
202,Annual Review of Condensed Matter Physics,"4,103",16.109,0.009010,16.109,Annual Review of Condensed Matter Physics
203,STUDIES IN MYCOLOGY,"4,285",16.097,0.003600,16.097,Studies in Mycology
204,Autophagy,"25,343",16.016,0.027970,16.016,Autophagy
205,MOLECULAR PSYCHIATRY,"28,622",15.992,0.046220,15.992,Molecular Psychiatry
206,ACS Nano,"195,525",15.881,0.247420,15.881,Acs Nano
207,CELL DEATH AND DIFFERENTIATION,"27,701",15.828,0.028730,15.828,Cell Death and Differentiation
208,Nature Plants,"9,424",15.793,0.031690,15.793,Nature Plants
209,Physical Review X,"22,327",15.762,0.074860,15.762,Physical Review x
210,SEMINARS IN CANCER BIOLOGY,"11,552",15.707,0.012110,15.707,Seminars in Cancer Biology
211,SYSTEMATIC BIOLOGY,"19,416",15.683,0.019170,15.683,Systematic Biology
212,HUMAN REPRODUCTION UPDATE,"12,334",15.610,0.011270,15.61,Human Reproduction Update
213,Journal of Thoracic Oncology,"24,405",15.609,0.042780,15.609,Journal of Thoracic Oncology
214,Matter,"2,357",15.589,0.003960,15.589,Matter
215,QUARTERLY JOURNAL OF ECONOMICS,"38,427",15.563,0.061690,15.563,Quarterly Journal of Economics
216,EUROPEAN JOURNAL OF HEART FAILURE,"17,114",15.534,0.027740,15.534,European Journal of Heart Failure
217,Nature Machine Intelligence,"1,212",15.508,0.003210,15.508,Nature Machine Intelligence
218,Annual Review of Microbiology,"12,031",15.500,0.008980,15.5,Annual Review of Microbiology
219,ADVANCED DRUG DELIVERY REVIEWS,"43,769",15.470,0.028600,15.47,Advanced Drug Delivery Reviews
220,Nature Ecology & Evolution,"10,794",15.460,0.041990,15.46,Nature Ecology Evolution
221,"JOURNAL OF THE AMERICAN CHEMICALSOCIETY","609,263",15.419,0.520440,15.419,Journal of the American Chemical Society
222,"NATURE STRUCTURAL & MOLECULARBIOLOGY","32,038",15.369,0.051210,15.369,Nature Structural Molecular Biology
223,"ANGEWANDTE CHEMIE-INTERNATIONALEDITION","410,750",15.336,0.480190,15.336,Angewandte Chemie International Edition
224,Energy & Environmental Materials,729,15.122,0.001110,15.122,Energy Environmental Materials
225,Nature Chemical Biology,"27,428",15.040,0.047880,15.04,Nature Chemical Biology
226,"RENEWABLE & SUSTAINABLE ENERGYREVIEWS","132,560",14.982,0.150720,14.982,Renewable Sustainable Energy Reviews
227,Nature Communications,"453,215",14.919,1.238540,14.919,Nature Communications
228,Protein & Cell,"5,352",14.870,0.009500,14.87,Protein Cell
229,FORBES,"5,512",14.826,0.018040,14.826,Forbes
230,TRENDS IN PHARMACOLOGICAL SCIENCES,"15,308",14.819,0.014880,14.819,Trends in Pharmacological Sciences
231,JOURNAL OF CLINICAL INVESTIGATION,"132,296",14.808,0.114560,14.808,Journal of Clinical Investigation
232,JACC-Cardiovascular Imaging,"14,398",14.805,0.032190,14.805,Jacc Cardiovascular Imaging
233,JAMA Surgery,"12,793",14.766,0.037320,14.766,Jama Surgery
234,JAMA Cardiology,"11,453",14.676,0.036150,14.676,Jama Cardiology
235,Microbiome,"12,051",14.650,0.030300,14.65,Microbiome
236,Bioactive Materials,"2,145",14.593,0.002730,14.593,Bioactive Materials
237,ACS Central Science,"11,097",14.553,0.032090,14.553,Acs Central Science
238,Nature Astronomy,"5,524",14.437,0.019620,14.437,Nature Astronomy
239,Nature Reviews Urology,"5,267",14.432,0.008470,14.432,Nature Reviews Urology
240,JOURNAL OF EXPERIMENTAL MEDICINE,"74,803",14.307,0.062280,14.307,Journal of Experimental Medicine
241,MOLECULAR ASPECTS OF MEDICINE,"8,136",14.235,0.006640,14.235,Molecular Aspects of Medicine
242,BIOTECHNOLOGY ADVANCES,"23,792",14.227,0.017000,14.227,Biotechnology Advances
243,Trends in Cancer,"4,237",14.226,0.012440,14.226,Trends in Cancer
244,Annual Review of Nuclear and Particle Science,"3,084",14.219,0.003430,14.219,Annual Review of Nuclear and Particle Science
245,Molecular Neurodegeneration,"6,772",14.195,0.011650,14.195,Molecular Neurodegeneration
246,Small Methods,"7,188",14.188,0.014280,14.188,Small Methods
247,Science Advances,"65,205",14.136,0.218640,14.136,Science Advances
248,"INTERNATIONAL JOURNAL OF INFORMATIONMANAGEMENT","12,245",14.098,0.011670,14.098,International Journal of Information Management
249,Annual Review of Ecology Evolution and Systematics,"23,595",13.915,0.008890,13.915,Annual Review of Ecology Evolution and Systematics
250,Annual Review of Marine Science,"5,492",13.850,0.007200,13.85,Annual Review of Marine Science
251,TRENDS IN NEUROSCIENCES,"22,858",13.837,0.019470,13.837,Trends in Neurosciences
252,Annual Review of Cell and Developmental Biology,"11,884",13.827,0.011100,13.827,Annual Review of Cell and Developmental Biology
253,Annual Review of Pharmacology and Toxicology,"9,016",13.820,0.006590,13.82,Annual Review of Pharmacology and Toxicology
254,TRENDS IN BIOCHEMICAL SCIENCES,"22,003",13.807,0.025760,13.807,Trends in Biochemical Sciences
255,BRITISH JOURNAL OF SPORTS MEDICINE,"30,986",13.800,0.040950,13.8,British Journal of Sports Medicine
256,Journal for ImmunoTherapy of Cancer,"11,042",13.751,0.028830,13.751,Journal for Immuno Therapy of Cancer
257,Annual Review of Medicine,"7,553",13.739,0.009800,13.739,Annual Review of Medicine
